c_addr_id,c_addr_cbd,c_name,c_name_chn,c_admin_type,c_firstyear,c_lastyear,x_coord,y_coord,belongs1_ID,belongs1_Name,belongs2_ID,belongs2_Name,belongs3_ID,belongs3_Name,belongs4_ID,belongs4_Name,belongs5_ID,belongs5_Name
17,,"He'nan Sheng","河南省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
18,,"Hubei Sheng","湖北省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
19,,"Hu'nan Sheng","湖南省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
20,,"Guangdong Sheng","廣東省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
21,,"Guangxi Zhuang Zizhiqu","廣西壯自治區",Zizhiqu,1949,2005,,,1,"中華人民共和國",,,,,,,,
22,,"Hainan Sheng","海南省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
23,,"Sichuan Sheng","四川省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
24,,"Guizhou Sheng","貴州省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
25,,"Yunnan Sheng","雲南省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
26,,"Xizang Zizhiqu","西藏自治區",Zizhiqu,1949,2005,,,1,"中華人民共和國",,,,,,,,
27,,"Shaanxi Sheng","陝西省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
28,,"Gansu Sheng","甘肅省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
29,,"Qinghai Sheng","青海省",Sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
30,,"Ningxia Hui Zizhiqu","寧夏回族自治區",Zizhiqu,1949,2005,,,1,"中華人民共和國",,,,,,,,
31,,"Xinjiang Weiwu'er Zizhiqu","新疆維吾爾自治區",Zizhiqu,1949,2005,,,1,"中華人民共和國",,,,,,,,
32,,Waimenggu,"外蒙古",Guo,1949,2005,,,1,"中華人民共和國",,,,,,,,
33,,Chaoxian,"朝鮮",Guo,1949,2005,,,1,"中華人民共和國",,,,,,,,
34,,Manshu,"滿州",Difang,1949,2005,,,1,"中華人民共和國",,,,,,,,
35,,Taiwan,"臺灣",sheng,1949,2005,,,1,"中華人民共和國",,,,,,,,
36,,"Soviet Far East","海南省",Other,1949,2005,,,1,"中華人民共和國",,,,,,,,
37,,"Beijing Shixian","北京市縣",Shixian,1949,2005,,,2,"北京省市",1,"中華人民共和國",,,,,,
38,,"Tianjin Shixian","天津市縣",Shixian,1949,2005,,,3,"天津省市",1,"中華人民共和國",,,,,,
39,,"Shijiazhuang Shi","石家莊市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
40,,"Tangshan Shi","唐山市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
41,,"Qinhuangdao Shi","秦皇島市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
42,,"Handan Shi","邯鄲市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
43,,"Xingtai Shi","邢臺市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
44,,"Baoding Shi","保定市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
45,,"Zhangjiakou Shi","張家口市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
46,,"Chengde Shi","承德市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
47,,"Cangzhou Shi","滄州市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
48,,"Langfang Shi","廊坊市",Shi,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
49,,"Handan Diqu","邯鄲地區",Diqu,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
50,,"Xingtai Diqu","邢臺地區",Diqu,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
51,,"Shijiazhuang Diqu","石家莊地區",Diqu,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
52,,"Baoding Diqu","保定地區",Diqu,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
53,,"Zhangjiakou Diqu","張家口地區",Diqu,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
54,,"Chengde Diqu","承德地區",Diqu,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
55,,"Cangzhou Diqu","滄州地區",Diqu,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
56,,"Hengshui Diqu","衡水地區",Diqu,1949,2005,,,4,"河北省",1,"中華人民共和國",,,,,,
57,,"Taiyuan Shi","太原市",Shi,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
58,,"Datong Shi","大同市",Shi,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
59,,"Yangquan Shi","陽泉市",Shi,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
60,,"Changzhi Shi","長治市",Shi,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
61,,"Jincheng Shi","晉城市",Shi,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
62,,"Shuozhou Shi","朔州市",Shi,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
63,,"Xinzhou Diqu","忻州地區",Diqu,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
64,,"Luliang Diqu","呂粱地區",Diqu,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
65,,"Jinzhong Diqu","晉中地區",Diqu,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
66,,"Linfen Diqu","臨汾地區",Diqu,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
67,,"Yuncheng Diqu","運城地區",Diqu,1949,2005,,,5,"山西省",1,"中華人民共和國",,,,,,
68,,"Wuhai Shi","烏海市",Shi,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
69,,"Chifeng Shi","赤峰市",Shi,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
70,,"Hulunbei'er Meng","沍倫貝爾盟",Meng,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
71,,"Xing'an Meng","興安盟",Meng,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
72,,"Zhelimu Meng","哲里木盟",Meng,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
73,,"Xilinguole Meng","錫林郭勒盟",Meng,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
74,,"Wulanchabu Meng","烏蘭察布盟",Meng,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
75,,"Yikezhao Meng","伊克昭盟",Meng,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
76,,"Bayannao'er Meng","巴彥淖爾盟",Meng,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
77,,"Alashan Meng","阿拉善盟",Meng,1949,2005,,,6,"內蒙古自治區",1,"中華人民共和國",,,,,,
78,,"Shenyang Shi","瀋陽市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
79,,"Dalian Shi","大連市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
80,,"Anshan Shi","鞍山市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
81,,"Fushun Shi","撫順市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
82,,"Benxi Shi","本溪市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
83,,"Dandong Shi","丹東市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
84,,"Jinzhou Shi","錦州市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
85,,"Yingkou Shi","營口市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
86,,"Fuxin Shi","阜新市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
87,,"Liaoyang Shi","遼陽市",Shi,1949,2005,123.18832,41.27079,7,"遼寧省",1,"中華人民共和國",,,,,,
88,,"Panjin Shi","盤錦市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
89,,"Tieling Shi","鐵嶺市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
90,,"Chaoyang Shi","朝陽市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
91,,"Jinxi Shi","錦西市",Shi,1949,2005,,,7,"遼寧省",1,"中華人民共和國",,,,,,
92,,"Changchun Shi","長春市",Shi,1949,2005,,,8,"吉林省",1,"中華人民共和國",,,,,,
93,,"Jilin Shi","吉林市",Shi,1949,2005,,,8,"吉林省",1,"中華人民共和國",,,,,,
94,,"Siping Shi","四平市",Shi,1949,2005,,,8,"吉林省",1,"中華人民共和國",,,,,,
95,,"Liaoyuan Shi","遼源市",Shi,1949,2005,,,8,"吉林省",1,"中華人民共和國",,,,,,
96,,"Tonghua Shi","通化市",Shi,1949,2005,,,8,"吉林省",1,"中華人民共和國",,,,,,
97,,"Hunjiang Shi","渾江市",Shi,1949,2005,,,8,"吉林省",1,"中華人民共和國",,,,,,
98,,"Baicheng Diqu","白城地區",Diqu,1949,2005,,,8,"吉林省",1,"中華人民共和國",,,,,,
99,,"Yanbian Chaoxian Zizhizhou","延邊朝鮮族自治州",Zizhizhou,1949,2005,,,8,"吉林省",1,"中華人民共和國",,,,,,
100,,"Ha'erbin Shi","哈爾濱市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
101,,"Qiqiha'er Shi","齊齊哈爾市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
102,,"Jixi Shi","雞西市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
103,,"Hegang Shi","鶴崗市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
104,,"Shuangyashan Shi","雙鴨山市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
105,,"Daqing Shi","大慶市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
106,,"Yichun Shi","伊春市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
107,,"Jiamusi Shi","佳木斯市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
108,,"Qitaihe Shi","七台河市",Shi,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
109,,"Songhuajiang Diqu","松花江地區",Diqu,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
110,,"Suihua Diqu","綏化地區",Diqu,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
111,,"Heihe Diqu","黑河地區",Diqu,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
112,,"Daxing'anling Diqu","大興安岭地區",Diqu,1949,2005,,,9,"黑龍江省",1,"中華人民共和國",,,,,,
113,,"Shanghai Shixian","上海市縣",Shixian,1949,2005,,,10,"上海省市",1,"中華人民共和國",,,,,,
114,,"Wuxi Shi","無錫市",Shi,1949,2005,,,11,"江蘇省",1,"中華人民共和國",,,,,,
115,,"Nantong Shi","南通市",Shi,1949,2005,,,11,"江蘇省",1,"中華人民共和國",,,,,,
116,,"Lianyungang Shi","連雲港市",Shi,1949,2005,,,11,"江蘇省",1,"中華人民共和國",,,,,,
117,,"Yancheng Shi","鹽城市",Shi,1949,2005,,,11,"江蘇省",1,"中華人民共和國",,,,,,
118,,"Hangzhou Shi","杭州市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
119,,"Ningbo Shi","寧波市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
120,,"Wenzhou Shi","溫州市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
121,,"Jiaxing Shi","嘉興市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
122,,"Huzhou Shi","湖州市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
123,,"Shaoxing Shi","紹興市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
124,,"Jinhua Shi","金華市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
125,,"Quzhou Shi","衢州市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
126,,"Zhoushan Shi","舟山市",Shi,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
127,,"Lishui Diqu","麗水地區",Diqu,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
128,,"Taizhou Diqu","台州地區",Diqu,1949,2005,,,12,"浙江省",1,"中華人民共和國",,,,,,
129,,"Hefei Shi","合肥市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
130,,"Wuhu Shi","蕪湖市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
131,,"Bengbu Shi","蚌埠市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
132,,"Huainan Shi","淮南市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
133,,"Ma'anshan Shi","馬鞍山市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
134,,"Huaibei Shi","淮北市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
135,,"Tongling Shi","銅陵市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
136,,"Anqing Shi","安慶市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
137,,"Huangshan Shi","黃山市",Shi,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
138,,"Fuyang Diqu","阜陽地區",Diqu,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
139,,"Suxian Diqu","宿縣地區",Diqu,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
140,,"Chuxian Diqu","滁縣地區",Diqu,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
141,,"Lu'an Diqu","六安地區",Diqu,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
142,,"Xuancheng Diqu","宣城地區",Diqu,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
143,,"Chaohu Diqu","巢湖地區",Diqu,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
144,,"Anqing Diqu","安慶地區",Diqu,1949,2005,,,13,"安徽省",1,"中華人民共和國",,,,,,
145,,"Jianyang Diqu","建陽地區",Diqu,1949,2005,,,14,"福建省",1,"中華人民共和國",,,,,,
146,,"Ningde Diqu","寧德地區",Diqu,1949,2005,,,14,"福建省",1,"中華人民共和國",,,,,,
147,,"Longyan Diqu","龍巖地區",Diqu,1949,2005,,,14,"福建省",1,"中華人民共和國",,,,,,
148,,"Ganzhou Diqu","贛州地區",Diqu,1949,2005,,,15,"江西省",1,"中華人民共和國",,,,,,
149,,"Yichun Diqu","宜春地區",Diqu,1949,2005,,,15,"江西省",1,"中華人民共和國",,,,,,
150,,"Shangrao Diqu","上饒地區",Diqu,1949,2005,,,15,"江西省",1,"中華人民共和國",,,,,,
151,,"Ji'an Diqu","吉安地區",Diqu,1949,2005,,,15,"江西省",1,"中華人民共和國",,,,,,
152,,"Fuzhou Diqu","撫州地區",Diqu,1949,2005,,,15,"江西省",1,"中華人民共和國",,,,,,
153,,"Ji'nan Shi","濟南市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
154,,"Qingdao Shi","青島市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
155,,"Zibo Shi","淄博市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
156,,"Zaozhuang Shi","棗莊市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
157,,"Dongying Shi","東營市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
158,,"Yantai Shi","煙台市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
159,,"Weifang Shi","濰坊市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
160,,"Jining Shi","濟寧市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
161,,"Tai'an Shi","泰安市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
162,,"Weihai Shi","威海市",Shi,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
163,,"Huimin Diqu","惠民地區",Diqu,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
164,,"Dezhou Diqu","德州地區",Diqu,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
165,,"Liaocheng Diqu","聊城地區",Diqu,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
166,,"Linyi Diqu","臨沂地區",Diqu,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
167,,"Heze Diqu","渮澤地區",Diqu,1949,2005,,,16,"山東省",1,"中華人民共和國",,,,,,
168,,"Zhengzhou Shi","鄭州市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
169,,"Kaifeng Shi","開封市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
170,,"Luoyang Shi","洛陽市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
171,,"Pingdingshan Shi","平頂山市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
172,,"Anyang Shi","安陽市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
173,,"Xinxiang Shi","新鄉市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
174,,"Jiaozuo Shi","焦作市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
175,,"Puyang Shi","濮陽市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
176,,"Luohe Shi","漯河市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
177,,"Sanmenxia Shi","三門峽市",Shi,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
178,,"Shangqiu Diqu","商邱地區",Diqu,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
179,,"Zhoukou Diqu","周口地區",Diqu,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
180,,"Zhumadian Diqu","駐馬店地區",Diqu,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
181,,"Nanyang Diqu","南陽地區",Diqu,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
182,,"Xinyang Diqu","信陽地區",Diqu,1949,2005,,,17,"河南省",1,"中華人民共和國",,,,,,
183,,"Wuhan Shi","武漢市",Shi,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
184,,"Huangshi Shi","黃石市",Shi,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
185,,"Shiyan Shi","十堰市",Shi,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
186,,"Shashi Shi","沙市市",Shi,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
187,,"Ezhou Shi","鄂州市",Shi,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
188,,"Jingmen Shi","荊門市",Shi,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
189,,"Huanggang Diqu","黃岡地區",Diqu,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
190,,"Xiaogan Diqu","孝感地區",Diqu,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
191,,"Xianning Diqu","咸寧地區",Diqu,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
192,,"Jingzhou Diqu","荊州地區",Diqu,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
193,,"Yunyang Diqu","鄖陽地區",Diqu,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
194,,"Yichang Diqu","宜昌地區",Diqu,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
195,,"Exi Tujia-Miao Zizhizhou","鄂西土家族苗族自治州",Zizhizhou,1949,2005,,,18,"湖北省",1,"中華人民共和國",,,,,,
196,,"Zhuzhou Shi","株洲市",Shi,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
197,,"Hengyang Shi","衡陽市",Shi,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
198,,"Shaoyang Shi","邵陽市",Shi,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
199,,"Yueyang Shi","岳陽市",Shi,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
200,,"Dayong Shi","大庸市",Shi,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
201,,"Yiyang Diqu","益陽地區",Diqu,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
202,,"Loudi Diqu","婁底地區",Diqu,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
203,,"Chenzhou Diqu","彬州地區",Diqu,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
204,,"Lingling Diqu","零陵地區",Diqu,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
205,,"Huaibei Diqu","懷北地區",Diqu,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
206,,"Xiangxi Tujia-Miao Zizhizhou","湘西土家族苗族自治州",Zizhizhou,1949,2005,,,19,"湖南省",1,"中華人民共和國",,,,,,
207,,"Guangzhou Shi","廣州市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
208,,"Shaoguan Shi","韶關市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
209,,"Shenzhen Shi","深圳市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
210,,"Zhuhai Shi","珠海市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
211,,"Shantou Shi","汕頭市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
212,,"Foshan Shi","佛山市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
213,,"Jiangmen Shi","江門市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
214,,"Zhanjiang Shi","湛江市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
215,,"Maoming Shi","茂名市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
216,,"Zhaoqing Shi","肇慶市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
217,,"Huizhou Shi","惠州市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
218,,"Meizhou Shi","梅州市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
219,,"Shanwei Shi","汕尾市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
220,,"Heyuan Shi","河源市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
221,,"Yangjiang Shi","陽江市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
222,,"Qingyuan Shi","清遠市",Shi,1949,2005,,,20,"廣東省",1,"中華人民共和國",,,,,,
223,,"Nanning Shi","南寧市",Shi,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
224,,"Liuzhou Shi","柳州市",Shi,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
225,,"Guilin Shi","桂林市",Shi,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
226,,"Wuzhou Shi","梧州市",Shi,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
227,,"Beihai Shi","北海市",Shi,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
228,,"Nanning Diqu","南寧地區",Diqu,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
229,,"Liuzhou Diqu","柳州地區",Diqu,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
230,,"Guilin Diqu","桂林地區",Diqu,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
231,,"Wuzhou Diqu","梧州地區",Diqu,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
232,,"Yulin Diqu","玉林地區",Diqu,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
233,,"Bose Diqu","百色地區",Diqu,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
234,,"Hechi Diqu","河池地區",Diqu,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
235,,"Qinzhou Diqu","欽州地區",Diqu,1949,2005,,,21,"廣西壯自治區",1,"中華人民共和國",,,,,,
236,,"Haikou Shi","海口市",Shi,1949,2005,,,22,"海南省",1,"中華人民共和國",,,,,,
237,,"Sanye Shi","三業市",Shi,1949,2005,,,22,"海南省",1,"中華人民共和國",,,,,,
238,,"Chengdu Shi","成都市",Shi,1949,2005,,,23,"四川省",1,"中華人民共和國",,,,,,
239,,"Chongqing Shi","重慶市",Shi,1949,2005,,,23,"四川省",1,"中華人民共和國",,,,,,
240,,"Zigong Shi","自貢市",Shi,1949,2005,,,23,"四川省",1,"中華人民共和國",,,,,,
241,,"Panzhihua Shi","攀枝花市",Shi,1949,2005,,,23,"四川省",1,"中華人民共和國",,,,,,
