c_form,c_label_id,c_english,c_jianti,c_fanti
SEN,19,Age,"入仕年齡","入仕年齡"
SF_ADDR,1,Sequence,"遷徙次序","遷徙次序"
SF_ADDR,2,Maternal,"娘家地址?","娘家地址?"
SF_ADDR,3,From:,"始年","始年"
SF_ADDR,4,Range,"始年時限","始年時限"
SF_ADDR,5,Y/M/D,"年/月/日","年/月/日"
SF_ADDR,6,Intercalary,"閏","閏"
SF_ADDR,7,"Day (stem/branch)","日(干支)","日(干支)"
SF_ADDR,8,To:,"終年","終年"
SF_ADDR,9,Range,"終年時限","終年時限"
SF_ADDR,10,Y/M/D,"年/月/日","年/月/日"
SF_ADDR,11,Intercalary,"閏","閏"
SF_ADDR,12,"Day (stem/branch)","日(干支)","日(干支)"
SF_ADDR,13,Pages,"頁碼/條目","頁碼/條目"
SF_ADDR,14,Notes,"注","注"
SF_ADDR,15,Type,"地址類別","地址類別"
SF_ADDR,16,Place,"地名","地名"
SF_ADDR,17,"Reign year","始年年號","始年年號"
SF_ADDR,18,"Reign year","終年年號","終年年號"
SF_ADDR,19,Source,"出處","出處"
SF_ADDR,20,Delete,"刪除地址！","刪除地址！"
SF_ADDR,21,"Add New","添加新地址","添加新地址"
SF_ASD,1,Seq.,"次序","次序"
SF_ASD,2,Year,"社會關係年份","社會關係年份"
SF_ASD,3,Range,"時限","時限"
SF_ASD,4,Y/M/D,"年/月/日","年/月/日"
SF_ASD,5,Intercalary,"閏","閏"
SF_ASD,6,Stem-branch,"日(干支)","日(干支)"
SF_ASD,7,"Supplemental Data","補充信息","補充信息"
SF_ASD,8,Occasion,"社會關係發生場合","社會關係發生場合"
SF_ASD,9,Title,"作品標題","作品標題"
SF_ASD,10,Genre,"作品的文學樣式","作品的文學樣式"
SF_ASD,11,Pages,"頁碼/條目","頁碼/條目"
SF_ASD,12,Notes,"注","注"
SF_ASD,13,Associate,"社會關係人","社會關係人"
SF_ASD,14,Association,"社會關係類別","社會關係類別"
SF_ASD,15,Kinship,"親屬關係類別","親屬關係類別"
SF_ASD,16,"Kin Name","親戚姓名","親戚姓名"
SF_ASD,17,"Associate Kinship","社會關係人親屬關係類別","社會關係人親屬關係類別"
SF_ASD,18,"Associate Kin Name","社會關係人親戚姓名","社會關係人親戚姓名"
SF_ASD,19,"Association Place","社會關係發生地","社會關係發生地"
SF_ASD,20,"Reign year","年號","年號"
SF_ASD,21,Topic,"學術主題","學術主題"
SF_ASD,22,School,"就讀學校","就讀學校"
SF_ASD,23,Source,"出處","出處"
SF_ASD,24,Delete,"刪除社會關係！","刪除社會關係！"
SF_ASD,25,"Add New","添加新的社會關係","添加新的社會關係"
SF_ASD,26,"Asserter of Assoc.","社會關係指證人姓名","社會關係指證人姓名"
SF_EVA,1,Place,"地名","地名"
SF_EVA,2,"Add New","添加新地名","添加新地名"
SF_EVA,3,Delete,"刪除地名！","刪除地名！"
SF_EVD,1,"Role in Event","傳主在該事件中的角色","傳主在該事件中的角色"
SF_EVD,2,Seq.,"次序","次序"
SF_EVD,3,Year,"年份","年份"
SF_EVD,4,Range,"時限","時限"
SF_EVD,5,Y/M/D,"年/月/日","年/月/日"
SF_EVD,6,Intercalary,"閏","閏"
SF_EVD,7,"Day (stem-branch)","日(干支)","日(干支)"
SF_EVD,8,Pages,"頁碼/條目","頁碼/條目"
SF_EVD,9,Notes,"注","注"
SF_EVD,10,Event,"選取事件","選取事件"
SF_EVD,11,"Reign year","年號","年號"
SF_EVD,12,Place,"地名","地名"
SF_EVD,13,Source,"出處","出處"
SF_EVD,14,"Add New","添加新紀錄","添加新紀錄"
SF_EVD,15,Delete,"刪除事件！","刪除事件！"
SF_KIN,1,Pages,"頁碼/條目","頁碼/條目"
SF_KIN,2,Notes,"注","注"
SF_KIN,3,Relation,"親屬關係類別","親屬關係類別"
SF_KIN,4,Person,"親戚姓名","親戚姓名"
SF_KIN,5,Source,"出處","出處"
SF_KIN,6,"Add New","添加新的親屬","添加新的親屬"
SF_KIN,7,Delete,"刪除親屬！","刪除親屬！"
SF_PADDR,1,Place,"地名","地名"
SF_PADDR,2,"Add New","添加新的地名","添加新的地名"
SF_PADDR,3,Delete,"刪除地名！","刪除地名！"
SF_POFF,1,Seq.,"次序","次序"
SF_POFF,2,Category,"職官類別","職官類別"
SF_POFF,3,"Posting Type","除授類別","除授類別"
SF_POFF,4,From:,"始年","始年"
SF_POFF,5,Range,"時限","時限"
SF_POFF,6,"Assumed Post?","是否赴任","是否赴任"
SF_POFF,7,Y/M/D,"年/月/日","年/月/日"
SF_POFF,8,Intercalary,"閏","閏"
SF_POFF,9,Stem-branch,"干支","干支"
SF_POFF,10,To:,"終年","終年"
SF_POFF,11,Range,"時限","時限"
SF_POFF,12,Y/M/D,"年/月/日","年/月/日"
SF_POFF,13,Intercalary,"閏","閏"
SF_POFF,14,Stem-branch,"干支","干支"
SF_POFF,15,Pages,"頁碼/條目","頁碼/條目"
SF_POFF,16,Notes,"注","注"
SF_POFF,17,Office,"官名","官名"
SF_POFF,18,"Reign year","始年年號","始年年號"
SF_POFF,19,"Reign year","終年年號","終年年號"
SF_POFF,20,Source,"出處","出處"
SF_POFF,21,"Add New","添加新的官名","添加新的官名"
SF_POFF,22,Delete,"刪除官名！","刪除官名！"
SF_POS,1,Seq.,"次序","次序"
SF_POS,2,"Record ID","紀錄號","紀錄號"
SF_POS,3,Activity,"行為(擁有、捐出等)","行為(擁有、捐出等)"
SF_POS,4,"Possession (中文)","財產","財產"
SF_POS,5,Possession,"財產(英文)","財產(英文)"
SF_POS,6,Quantity,"數量","數量"
SF_POS,7,Units,"度量單位","度量單位"
SF_POS,8,Year,"年份","年份"
SF_POS,9,Year,"年","年"
SF_POS,10,Range,"時限","時限"
SF_POS,11,Pages,"頁碼/條目","頁碼/條目"
SF_POS,12,Notes,"注","注"
SF_POS,13,"Reign year","年號","年號"
SF_POS,14,Place,"地名","地名"
SF_POS,15,Source,"出處","出處"
SF_POS,16,Delete,"刪除財產！","刪除財產！"
SF_POS,17,"Add New","添加新財產","添加新財產"
SF_POST,1,"Add New","添加新官職","添加新官職"
SF_POST,2,Delete,"刪除官職！","刪除官職！"
SF_STATUS,1,Sequence,"次序","次序"
SF_STATUS,2,Began,"始年","始年"
SF_STATUS,3,Year,"年","年"
SF_STATUS,4,Range,"始年時限","始年時限"
SF_STATUS,5,Ended,"終年","終年"
SF_STATUS,6,Year,"年","年"
SF_STATUS,7,Range,"終年時限","終年時限"
SF_STATUS,8,Pages,"頁碼/條目","頁碼/條目"
SF_STATUS,9,Notes,"注","注"
SF_STATUS,10,Status,"社會區分","社會區分"
SF_STATUS,11,"Reign year","始年年號","始年年號"
SF_STATUS,12,"Reign year","終年年號","終年年號"
SF_STATUS,13,Source,"出處","出處"
SF_STATUS,14,Delete,"刪除社會區分！","刪除社會區分！"
SF_STATUS,15,"Add New","添加新的社會區分","添加新的社會區分"
SF_TEXTS,1,Title,"著述名稱拼音","著述名稱拼音"
SF_TEXTS,2,"Title (Chinese)","著述名稱","著述名稱"
SF_TEXTS,3,Role,"關係","關係"
SF_TEXTS,4,Text,"著述","著述"
SF_TEXTS,5,Delete,"刪除著述！","刪除著述！"
