c_inst_name_code,c_inst_code,c_inst_addr_type_code,c_inst_addr_begin_year,c_inst_addr_end_year,c_inst_addr_id,inst_xcoord,inst_ycoord,c_source,c_pages,c_notes
169,296,1,,,16865,0.0,0.0,,,"from L.Walton: Xu tongkao, 51; He Youshen, p.400; YS 138.3326; Huang Jin, Jinhua Huang xiansheng wenji [SBCK],28.9a"
169,3540,1,1300,,17528,117.2765,31.86446,,,
170,297,1,,,18543,0.0,0.0,9599,9668,"from L.Walton: Jiangxi tongzhi 82.42a; 大明一統志 52.21a"
171,298,1,,,18267,0.0,0.0,9599,14151,"元代釋並學113204居杭州淨性寺"
172,299,1,,,16915,0.0,0.0,,,"from L.Walton: Wei Su, 5.12b-13b"
172,3620,1,1302,,16929,115.8176,38.87537,38280,399,
173,300,1,,,18546,0.0,0.0,,,"from L.Walton: 大明一統志 52.21a"
174,301,1,,,18068,0.0,0.0,,,"from L.Walton: 大明一統志 71.6a"
174,3729,1,1349,,17793,105.276,30.98916,38280,395,"多个出處:元代書院之地理分佈P395;四川書院史P59."
175,302,1,,,17247,0.0,0.0,9599,14329,"元代釋廣裕113374居翼城金仙寺; Location: 翼城縣東門外澮水; Founding: 宋代; Other: Temple ID 139261 元延祐中移至同颖坊; Temple ID 139261 Location: 翼城縣東門外澮水; Founding: 宋代; Other: 元延祐中移至同颖坊"
175,303,1,,,8902,0.0,0.0,27842,46,"Temple ID 140466 Location: 府城北; Founding: 明嘉靖十四年"
176,304,1,,,18398,0.0,0.0,9599,9300,"from L.Walton: Sun 32 (Jiangxi #88); Jiangxi tongzhi, 82.26a; 大明一統志 50.7b"
177,305,1,,,18405,0.0,0.0,9599,14366,"元代釋懷信113411居金陵集慶寺"
178,306,1,,,18356,0.0,0.0,9599,1608,
178,307,1,,,18348,0.0,0.0,9599,8816,
179,308,1,,,18354,0.0,0.0,9599,14323,"元代釋與恭113368居餘姚九功寺"
180,309,1,,,17243,0.0,0.0,9599,14288,"元代釋智楫113334居絳州寂照院"
181,310,1,,,17290,0.0,0.0,9599,294,
182,311,1,,,18458,0.0,0.0,9599,14129,"元代釋妙恩113183居泉州開元寺; Temple ID 140109 Location: 晉江縣; Founding: 唐代; Other: 初名莲花寺"
182,312,1,,,18459,0.0,0.0,9599,14090,"元代釋如照113145居開元寺; Temple ID 140109 Location: 晉江縣; Founding: 唐代; Other: 初名莲花寺"
182,313,1,,,211096,0.0,0.0,9599,14328,"元代釋廣恩113373居居邢州開元 寺"
182,314,1,,,7373,0.0,0.0,27842,26,"Temple ID 138686 Location: 盧龍縣南臺山; Founding: 明永乐七年"
182,315,1,,,7249,0.0,0.0,27842,26,"Temple ID 138687 Location: 薊城東南; Founding: 唐开元中; Other: 明弘治中重修"
182,316,1,,,7244,0.0,0.0,27842,26,"Temple ID 138688 Location: 舊滄州城內; Other: 铁狮子残关"
182,317,1,,,7320,0.0,0.0,27842,26,"Temple ID 138689 Location: 府治東; Founding: 唐开元中; Other: 明洪武中重修"
182,318,1,,,7303,0.0,0.0,27842,26,"Temple ID 138690 Location: 州治東; Founding: 唐代"
182,319,1,,,7307,0.0,0.0,27842,26,"Temple ID 138691 Location: 州治西北; Other: 隋代，觉观寺，唐代今名"
182,320,1,,,7314,0.0,0.0,27842,26,"Temple ID 138692 Location: 州治西南; Other: 宋景祐中寺塔建立"
182,321,1,,,7280,0.0,0.0,27842,26,"Temple ID 138693 Location: 州舊城南; Founding: 唐贞观中"
182,322,1,,,7300,0.0,0.0,27842,26,"Temple ID 138694 Location: 州治南; Other: 有十三级塔，咸平四年始建，至和二年成"
182,323,1,,,7539,0.0,0.0,27842,27,"Temple ID 138695 Location: 吳縣治西南; Founding: 晋代"
182,324,1,,,7580,0.0,0.0,27842,27,"Temple ID 138696 Location: 山陽縣西南; Founding: 唐开元中"
182,325,1,,,7440,0.0,0.0,27842,27,"Temple ID 138697 Location: 永濟縣東關內; Other: 明洪武初五寺合并而来"
182,326,1,,,8058,0.0,0.0,27842,27,"Temple ID 138698 Location: 府城內; Founding: 唐开元中"
182,327,1,,,8090,0.0,0.0,27842,27,"Temple ID 138699 Location: 鄭州治東; Founding: 唐开元中"
182,328,1,,,8095,0.0,0.0,27842,27,"Temple ID 138700 Location: 商邱縣城南，虞城縣; Founding: 南唐，宋绍圣三年; Other: 有二寺"
182,329,1,,,8166,0.0,0.0,27842,27,"Temple ID 138701 Location: 舞陽縣治西; Founding: 唐开元中"
182,330,1,,,8104,0.0,0.0,27842,27,"Temple ID 138702 Location: 府城東北"
182,331,1,,,8116,0.0,0.0,27842,27,"Temple ID 138703 Location: 臨穎縣北; Founding: 唐开元中"
182,332,1,,,8195,0.0,0.0,27842,27,"Temple ID 138704 Location: 州城三門山"
182,333,1,,,8941,0.0,0.0,27842,28,"Temple ID 138705 Location: 鹹寧縣南薰坊; Founding: 唐开元四年"
182,334,1,,,9011,0.0,0.0,27842,28,"Temple ID 138706 Location: 鳳翔縣城內; Founding: 唐开元一年; Other: 存吴道子画佛像"
182,335,1,,,9031,0.0,0.0,27842,28,"Temple ID 138707 Location: 西鄉縣東"
182,336,1,,,8997,0.0,0.0,27842,28,"Temple ID 139386 Location: 州治北; Founding: 唐代"
182,337,1,,,7685,0.0,0.0,27842,28,"Temple ID 139502 Location: 會稽縣東南; Other: 唐董昌故宅"
182,338,1,,,7653,0.0,0.0,27842,28,"Temple ID 139548 Location: 府城東; Founding: 唐神龙中; Other: 康熙中重建"
182,339,1,,,8351,0.0,0.0,27842,30,"Temple ID 139889 Location: 武陵縣城南; Founding: 梁，普通中; Other: 初名宝应寺，开元改今名"
182,340,1,,,8331,0.0,0.0,27842,28,"Temple ID 139948 Location: 州治西"
182,341,1,,,8675,0.0,0.0,27842,28,"Temple ID 139972 Location: 漢州治東; Founding: 唐代"
182,342,1,,,8816,0.0,0.0,27842,28,"Temple ID 140025 Location: 奉節縣西; Founding: 唐开元中"
182,343,1,,,7770,0.0,0.0,27842,29,"Temple ID 140093 Location: 閩縣芝山南; Founding: 梁太清三年（灵山寺）; Other: 唐名龙兴开元中今名，顺治十四年重建"
182,344,1,,,7790,0.0,0.0,27842,29,"Temple ID 140141 Location: 甌寧縣城內; Founding: 晋代; Other: 旧名林泉，唐代今名"
182,345,1,,,7808,0.0,0.0,27842,29,"Temple ID 140155 Location: 州東; Founding: 唐开元二十八年; Other: 本名开元宫，宋代今名"
182,346,1,,,8446,0.0,0.0,27842,29,"Temple ID 140214 Location: 澄海縣城內; Founding: 唐开元中"
182,347,1,,,8441,0.0,0.0,27842,29,"Temple ID 140238 Location: 海康縣城南調會坊; Founding: 唐开元中"
182,348,1,,,8601,0.0,0.0,27842,29,"Temple ID 140262 Location: 馬平縣西; Other: 柳州开元寺夏雨（宋吕本中）"
182,349,1,,,6911,0.0,0.0,27842,29,"Temple ID 140508 Location: 黔西州東門外; Founding: 康熙五年"
183,350,1,,,18454,0.0,0.0,9599,2525,
184,351,1,,,18332,0.0,0.0,9599,12536,"from L.Walton: SYXA:supp 84.13a; 大明一統志 43.7b; Zhejiang tongzhi 28.710 [UCB ed.]; Fang Hui, Tongjiang xuji, 31.20 (""Preface on Seeing off Keshan Hea大明一統志aster Huang Zhengzhi 黃正之"")"
185,352,1,,,18428,0.0,0.0,9599,7542,"from L.Walton: 大明一統志 51.6b; Yu Ji, [Taiwan Huawen shuju 1911 photoreprint ed.], 4.7b-10a; Cheng Duanli [SMCS ed.], 5.1a-3b; SYXA:supp.84.35b4"
186,353,1,,,18348,0.0,0.0,9599,9162,"from L.Walton: Yuan Jue, 23.9b-10a (""Preface on Sending Off Hea大明一統志aster Chen"")"
187,354,1,,,18513,0.0,0.0,,,"from L.Walton: Liu Chenweng, 3.4a-6a"
188,355,1,,,16826,0.0,0.0,,,"from L.Walton: X u Youren, Zhizheng ji, 70.11b-13a"
189,356,1,,,0,0.0,0.0,9599,14155,"元代釋宗衍113207居石湖楞伽寺"
189,357,1,,,7538,0.0,0.0,27842,257,"Temple ID 138886 Location: 上方山; Founding: 隋代; Other: 俗名上方寺"
190,358,1,,,18571,0.0,0.0,,,"from L.Walton: Wang Li, 6.1a-3a"
191,359,1,,,18313,0.0,0.0,9599,8312,"from L.Walton: Zhixun (1330-1) Zhenjiang zhi, 11.32b-34a; 大明一統志 11.6a"
191,360,1,,,17480,0.0,0.0,9599,8983,
191,361,1,,,18841,0.0,0.0,9599,12570,
191,362,1,,,18562,0.0,0.0,9599,13407,
191,2910,1,1119,,13058,113.025139,25.802719,38278,325,
191,2912,1,1119,,13075,111.2748,28.00967,38278,324,
191,2987,1,1119,,100609,111.9589,21.84542,38278,329,"多个出處:宋代書院與宋代學術之關係P329;元代書院之地理分佈P392."
191,3012,1,1119,,12961,113.8386,27.63142,38278,302,"多个出處:宋代書院與宋代學術之關係P302;江西古代書院研究P226."
191,3075,1,1068,,101128,111.771,23.14679,38278,329,
191,3145,1,1134,,0,111.474937,27.249315,38278,324,
191,3221,1,1176,,101191,115.9857,29.72236,38278,310,"多个出處:宋代書院與宋代學術之關係P310;江西古代書院研究P225."
191,3255,1,1198,,0,114.7797,26.46177,38278,304,"多个出處:宋代書院與宋代學術之關係P304;江西古代書院研究P109,227."
191,3295,1,1218,,0,111.9387,25.59845,38278,326,
0,0,1,0,0,0,0.0,0.0,0,,
1,1,1,,,18278,0.0,0.0,9599,5461,"from L.Walton: YR II.1317; II,1954; Lao, p.122"
1,2,1,,,17561,0.0,0.0,9599,6140,"from L.Walton: 大明一統志 12.8a"
2,3,1,,,0,0.0,0.0,9599,14182,"元代釋法憶113233居雞足山安定寺"
3,4,1,,,18332,0.0,0.0,9599,14019,"元代釋允清113075居衢州子湖安國禪寺"
4,5,1,,,18556,0.0,0.0,,,"from L.Walton: 大明一統志 58.17a; Wen Tianxiang, Wenshan xiansheng wenji [SBCK ed], 18b-20a; Liu Jiangsun, Yangwu zhaiji [e-SKQS], 27.1b-2a"
5,6,1,,,0,0.0,0.0,9599,14317,"元代釋福海113362居泰山安靈寺"
6,7,1,,,18537,0.0,0.0,9599,2067,
7,8,1,,,18454,0.0,0.0,,,"from L.Walton: SYXA 64.9b; 大明一統志 76.9a"
8,9,1,,,18542,0.0,0.0,9599,5131,"from L.Walton: Wu Cheng, 23.30a-32b; SYXA 92.25b12"
8,3347,1,1246,,12955,114.7797,26.46177,38278,304,"多个出處:宋代書院與宋代學術之關係P304;江西古代書院研究P112."
9,10,1,,,200010,0.0,0.0,9599,4134,
10,11,1,,,18505,0.0,0.0,9599,12995,
11,12,1,,,18369,0.0,0.0,9599,14367,"元代釋懷則113412居天台白蓮寺"
11,13,1,,,8423,0.0,0.0,27842,193,"Temple ID 140233 Location: 茂名縣東"
12,14,1,,,18543,0.0,0.0,9599,10873,
13,15,1,,,18573,0.0,0.0,,,"from L.Walton: Ma Tingluan, 17.10a-12a; Bailudong shuyuan zhi (various editions, 1566,1592,1622, 1910]"
14,16,1,,,18506,0.0,0.0,9599,2175,"from L.Walton: Liu Yi 劉繹 ed., Bailuzhou shuyuan zhi (1871); Liu Jiangsun, Yangwu zhaiji [e-SKQS ed.], 27.1a-b; Liu Chenweng, Xuxi ji [e-SKQS ed], 3.34b-37b"
15,17,1,,,18511,0.0,0.0,,,"from L.Walton: Liu Yueshen, 5.25a-26b"
16,18,1,,,18291,0.0,0.0,9599,13063,
16,3032,1,1119,,13178,120.4187,30.53045,38280,373,"多个出處:元代書院之地理分佈P373;中國古代的書院制度P29."
16,3390,1,1278,,18262,121.1676,31.25068,,,
17,19,1,,,18426,0.0,0.0,,,"from L.Walton: Yuan Jue, 18.5b-6b; SYXA supp 63.27a-b"
17,2978,1,1119,,14097,117.60305,28.42376,38278,307,
18,20,1,,,18361,0.0,0.0,,,"from L.Walton: He Menggui, 9.18b-21a; SYXA supp.70.63"
19,21,1,,,18495,0.0,0.0,9599,14047,"元代釋世誠113102居南昌般若寺"
19,22,1,,,7477,0.0,0.0,27842,194,"Temple ID 139191 Location: 五臺縣東樓觀谷; Founding: 明成化中"
19,23,1,,,7206,0.0,0.0,27842,194,"Temple ID 140353 Location: 雲南縣北"
20,24,1,,,18418,0.0,0.0,9599,14067,"元代釋正珪113122居池州路報恩光孝禪寺"
20,25,1,,,7741,0.0,0.0,27842,220,"Temple ID 138776 Location: 當塗縣南門內; Founding: 唐贞观二年"
21,26,1,,,16814,0.0,0.0,9599,14217,"元代釋從倫53568居大都報恩寺"
21,27,1,,,18294,0.0,0.0,9599,14248,"元代釋善住30358居居吳郡報恩 寺; Temple ID 138777 Location: 府城隅; Founding: 吴孙权吴夫人舍宅; Other: 吴通元寺，唐名开元寺，吴越今名今称北寺"
21,28,1,,,7580,0.0,0.0,27842,219,"Temple ID 138778 Location: 山陽縣治東; Founding: 宋代; Other: 元代废，明洪武初重建"
21,29,1,,,7657,0.0,0.0,27842,220,"Temple ID 139551 Location: 常山縣北; Founding: 唐贞观二年; Other: 初名保安寺，明末废，康熙中重建"
21,30,1,,,7911,0.0,0.0,27842,220,"Temple ID 139679 Location: 府治東; Founding: 唐代; Other: 宋绍兴中今额，元废、明重建"
21,31,1,,,8240,0.0,0.0,27842,220,"Temple ID 139771 Location: 鐘祥縣東; Founding: 宋开宝二年"
21,32,1,,,8235,0.0,0.0,27842,220,"Temple ID 139785 Location: 安陸縣，隋州城內，應山縣; Founding: 梁天监中（一年）; Other: 由三寺而来"
21,33,1,,,8248,0.0,0.0,27842,220,"Temple ID 139826 Location: 宣城縣，素陽縣均州; Founding: 明洪武中，宋代（三不明）; Other: 由三寺而来"
21,34,1,,,8370,0.0,0.0,27842,220,"Temple ID 139922 Location: 府治東; Other: 旧名天宁万寿寺，宋绍兴中今名"
21,35,1,,,8338,0.0,0.0,27842,220,"Temple ID 139970 Location: 州西南芙蓉山; Founding: 宋代"
21,36,1,,,8791,0.0,0.0,27842,220,"Temple ID 139996 Location: 大足縣治東; Founding: 宋元祐中"
21,37,1,,,8743,0.0,0.0,27842,220,"Temple ID 140081 Location: 舊州城車"
21,38,1,,,7818,0.0,0.0,27842,221,"Temple ID 140175 Location: 州治東; Founding: 宋绍兴二年"
21,39,1,,,8612,0.0,0.0,27842,221,"Temple ID 140258 Location: 陽朔縣治北; Founding: 宋景定中"
21,40,1,,,6536,0.0,0.0,27842,221,"Temple ID 140371 Location: 保山縣靈鷲山; Founding: 蒙氏时; Other: 元泰定中重建，俗称大寺"
21,41,1,,,6815,0.0,0.0,27842,221,"Temple ID 140446 Location: 餘慶縣南"
21,42,1,,,0,0.0,0.0,27842,221,"Temple ID 140461 Location: 天柱縣南門外; Founding: 明初; Other: 初名天平寺，后今名，一名兴宝祥林"
22,43,1,,,18267,0.0,0.0,9599,14004,"元代釋大訢28415居杭州報國寺"
22,44,1,,,7800,0.0,0.0,27842,221,"Temple ID 140152 Location: 建寧縣，金鏡山; Founding: 五代梁，龙德中"
22,45,1,,,7196,0.0,0.0,27842,221,"Temple ID 140387 Location: 彌勤縣西"
23,46,1,,,0,0.0,0.0,9599,14038,"元代釋文信113093居石湖寶華禪寺"
24,47,1,,,16814,0.0,0.0,9599,14126,"元代釋妙文113180居大都寶集寺"
25,48,1,,,18341,0.0,0.0,9599,14237,"元代釋紹大113284居義烏雲黃山寶林禪寺"
26,49,1,,,18349,0.0,0.0,9599,14001,"元代釋大同113061居會稽之景德寺,寶林寺"
26,50,1,,,0,0.0,0.0,9599,14187,"元代釋洪益113238居石龍山寶林寺"
26,51,1,,,7538,0.0,0.0,27842,228,"Temple ID 138557 Location: 府城西北隅; Founding: 元至正中，丹明"
26,52,1,,,7697,0.0,0.0,27842,228,"Temple ID 138558 Location: 無為州西; Founding: 唐垂拱二年"
26,53,1,,,18341,0.0,0.0,27842,228,"Temple ID 139543 Location: 義烏縣雲黃山; Founding: 梁大通中，博大士"
26,54,1,,,8238,0.0,0.0,27842,228,"Temple ID 139786 Location: 應山縣北; Other: 明洪武中，正觉寺赐名"
26,55,1,,,8246,0.0,0.0,27842,229,"Temple ID 139827 Location: 棗陽縣東，光化縣南; Founding: 明宣德中宋代; Other: 由二个寺而来"
27,56,1,,,18405,0.0,0.0,9599,14352,"元代釋慧曇113397居集慶保寧寺"
27,57,1,,,8295,0.0,0.0,27842,213,"Temple ID 139865 Location: 瀏縣江鄉; Other: 唐长髭居此"
28,58,1,,,17871,0.0,0.0,9599,14379,"元代釋覺慧113424居寶寧寺"
28,59,1,,,7276,0.0,0.0,27842,227,"Temple ID 138548 Location: 蟸縣治西南隅; Other: 明洪武中重建"
29,60,1,,,18325,0.0,0.0,9599,9403,"from L.Walton: SYXA:supp.bie 3.55a2"
29,3015,1,1119,,12809,118.4049,29.14485,38278,314,"多个出處:宋代書院與宋代學術之關係P314;元代書院之地理分佈P377;中國古代的書院制度P51;中國書院制度考略P21."
30,61,1,,,18323,0.0,0.0,9599,14008,"元代釋子文113066居慶元路寶雲寺"
31,62,1,,,18267,0.0,0.0,9599,14055,"元代釋可觀113110居杭州褒忠衍福寺"
32,63,1,,,18294,0.0,0.0,9599,14135,"元代釋妙聲113188居本郡北禪寺; Temple ID 138314 Location: 長洲縣治東北; Founding: 晋载顒舍宅"
33,64,1,,,18339,0.0,0.0,,,"from L.Walton: Wu Shidao in He Beishan yiji fulu, 4.23a-24a"
33,3301,1,1243,,18953,119.6468,27.08866,38278,320,
34,65,1,,,16974,0.0,0.0,,,"from L.Walton: Su Tianjue, 3.5a-6b [Zhonghua ed., 2.32-34]"
35,66,1,,,18455,0.0,0.0,,,"from L.Walton: 大明一統志 76:9a (4699);"
35,67,1,,,18517,0.0,0.0,,,"from L.Walton: Tianxia, p.733"
35,3718,1,1346,,18474,118.3238,27.03886,38280,381,
36,68,1,,,18415,0.0,0.0,9599,7669,"from L.Walton: SYXA:supp. 82.224b-225a; 大明一統志 15.6a; 陶安, 陶學士集 [-SKQS], 20.8b-9b"
37,69,1,,,17989,0.0,0.0,9599,14298,"元代釋圓護113343居雲南蒼山寺"
38,70,1,,,18539,0.0,0.0,,,"from L.Walton: 大明一統志 54.8b; Tianxia, p.523"
39,71,1,,,17789,0.0,0.0,,,"from L.Walton: Li Qi, Yunyang ji [e-SKQS], 10.5b-6b [Inscription on Caotang Academy's Library]"
39,3211,1,1181,,0,118.2402,28.6796,38278,306,"多个出處:宋代書院與宋代學術之關係P306;江西古代書院研究P108."
40,72,1,,,17441,0.0,0.0,9599,3238,"from L.Walton: Cheng Jufu, Cheng Xuelou wenji [NCL Yuandai zhenben ed., 1960], 15.7b-8a"
41,73,1,,,18349,0.0,0.0,9599,14031,"元代釋元瀞113086居長慶寺"
42,74,1,,,18401,0.0,0.0,9599,4953,"from L.Walton: Tianxia, 5.41a; inscription by Ji Hou, 41a-42b; 大明一統志 50.7b"
43,75,1,,,17446,0.0,0.0,9599,1060,"元代王志謹101222居居汴梁朝元 宮"
44,76,1,,,18234,0.0,0.0,9599,7999,
45,77,1,,,18438,0.0,0.0,,,"from L.Walton: Fuzhou fuzhi, 11.34b; 大明一統志 74.9b"
45,3189,1,1181,,0,112.9781,28.1982,38278,322,"多个出處:宋代書院與宋代學術之關係P322;元代書院之地理分佈P385."
45,3217,1,1181,,0,119.9523,31.78278,38282,30,
45,3471,1,1300,,18267,120.1686,30.29412,38280,372,
45,3724,1,1348,,18773,112.597,26.90162,,,
46,78,1,,,18294,0.0,0.0,9599,14267,"元代釋普明113313居吳中承天寺"
46,79,1,,,7489,0.0,0.0,27842,104,"Temple ID 138772 Location: 州城內; Founding: 元代; Other: 城内又有宝积寺"
46,80,1,,,7122,0.0,0.0,27842,104,"Temple ID 139402 Location: 寧朔縣西; Founding: 宋代夏人"
46,81,1,,,8264,0.0,0.0,27842,104,"Temple ID 139799 Location: 江陵縣西北; Founding: 晋永和中; Other: 洪迈客斋四笔有记"
46,82,1,,,8226,0.0,0.0,27842,104,"Temple ID 139841 Location: 黃崗縣南; Other: 苏轼夜游记"
46,83,1,,,8681,0.0,0.0,27842,104,"Temple ID 139977 Location: 灌縣東南; Other: 俗名马祖寺，有马祖灵骨塔"
47,84,1,,,16814,0.0,0.0,9599,14339,"元代釋德謙113384居大都崇恩寺"
47,85,1,,,18183,0.0,0.0,9599,13970,"元代釋定113031居崇恩寺"
48,86,1,,,0,0.0,0.0,9599,14380,"元代釋顯示113425居崇恩演福教寺"
49,87,1,,,18372,0.0,0.0,9599,14116,"元代釋行英113170居處州崇福寺"
49,88,1,,,7495,0.0,0.0,27842,116,"Temple ID 138626 Location: 朔州車門內; Founding: 辽，统和中; Other: 唐，高宗麟德之太师府，金天德二年今名"
49,89,1,,,8052,0.0,0.0,27842,116,"Temple ID 138627 Location: 昌邑縣南"
49,90,1,,,8182,0.0,0.0,27842,116,"Temple ID 138628 Location: 商城縣西北; Founding: 始建不详; Other: 旧名龙泉寺，明成化中今名"
49,91,1,,,7624,0.0,0.0,27842,117,"Temple ID 139466 Location: 石門縣西; Founding: 梁，天熙二年; Other: 本名常乐寺，宋天禧二年今名，近有广福寺，祗园寺，俱天监中建立"
49,92,1,,,7928,0.0,0.0,27842,117,"Temple ID 139701 Location: 州治南; Founding: 晋代; Other: 初宝宝林寺，宋祥符中今名"
49,93,1,,,8304,0.0,0.0,27842,117,"Temple ID 139853 Location: 安化縣浮泥山; Founding: 宋熙宁中; Other: 历代名僧驻此"
49,94,1,,,8779,0.0,0.0,27842,117,"Temple ID 140012 Location: 儀隴縣治西; Founding: 宋绍兴中"
49,95,1,,,8834,0.0,0.0,27842,117,"Temple ID 140088 Location: 廳南水中山; Founding: 明洪武中; Other: 一名定水寺"
49,96,1,,,7834,0.0,0.0,27842,117,"Temple ID 140105 Location: 晉江縣東北隅; Founding: 五代陈洪进"
50,97,1,,,18300,0.0,0.0,9599,14074,"元代釋永真113129居吳江崇福永樂寺"
51,98,1,,,16814,0.0,0.0,9599,14159,"元代釋定演113211居大都崇國寺"
52,99,1,,,17443,0.0,0.0,9599,14153,"元代釋宗明113206居隨州崇寧萬壽寺"
53,100,1,,,17598,0.0,0.0,,,"from L.Walton: Su Tianjue, 2.18-19 [Zhonghua ed.]"
54,101,1,,,0,0.0,0.0,9599,10186,
54,3733,1,1352,,16784,115.3922,35.73618,38280,398,
54,3734,1,1353,,17013,115.1383,36.24564,38282,50,"多个出處:中國古代的書院制度P50;中國書院制度考略P20."
55,102,1,,,18397,0.0,0.0,9599,9606,"from L.Walton: Sun 33 (Jiangxi #105); 大明一統志 50.7b; SYXA 78.6a; SYXA supp 78.38b"
56,103,1,,,18300,0.0,0.0,9599,1944,
56,104,1,,,18267,0.0,0.0,9599,5909,
56,105,1,,,18291,0.0,0.0,9599,8290,
56,3439,1,1269,,13178,120.4187,30.53045,38278,310,"多个出處:宋代書院與宋代學術之關係P310;元代書院之地理分佈P373;中國古代的書院制度P29."
57,106,1,,,0,0.0,0.0,9599,13724,
58,107,1,,,18326,0.0,0.0,9599,780,"from L.Walton: Yanyou, 14.30a-39a"
58,108,1,,,18403,0.0,0.0,9599,5872,"from L.Walton: Wei Su, Shuoxue zhaigao [e-SKQS], 1.18a-19b; 大明一統志 50.7b; Jiangxi tongzhi (UCB), 22.24b; Raozhou fuzhi, 7.24a"
58,3391,1,1279,,17557,116.6743,30.12354,,,
59,109,1,,,18267,0.0,0.0,9599,14117,"元代釋行修113171居杭州慈修護聖禪院"
60,110,1,,,17216,0.0,0.0,9599,14260,"元代釋惠珏113306居臨州慈雲寺"
60,111,1,,,7581,0.0,0.0,27842,85,"Temple ID 138743 Location: 清河縣清江浦; Founding: 雍正十三年奉旨兴修; Other: 乾隆四年龙藏全部下赐"
60,112,1,,,7477,0.0,0.0,27842,85,"Temple ID 138744 Location: 五臺縣五臺山; Other: 古名慈云社"
60,113,1,,,8069,0.0,0.0,27842,85,"Temple ID 138745 Location: 膠州治西; Founding: 唐大顺一年"
60,114,1,,,8192,0.0,0.0,27842,85,"Temple ID 138746 Location: 巩縣青龍山; Founding: 汉明帝时摩腾、竺法兰"
